trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 0.5}",20,0,-155.23913266785226,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
2,False,"{'e': 0.8999999999999999, 'a': 0.5}",20,0,-14.186541169744531,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
3,False,"{'e': 0.8499999999999999, 'a': 0.5}",30,2,-158.3716546325798,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 3}",1
4,False,"{'e': 0.7999999999999998, 'a': 0.5}",20,0,-123.79170693021545,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
5,False,"{'e': 0.7499999999999998, 'a': 0.5}",25,0,-128.4557856311194,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
6,False,"{'e': 0.6999999999999997, 'a': 0.5}",25,14,-95.4734132611942,"{0: 5, 1: 1, 2: 2, 3: 2, 4: 1}",1
7,False,"{'e': 0.6499999999999997, 'a': 0.5}",25,7,-78.44806093765949,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 1}",1
8,False,"{'e': 0.5999999999999996, 'a': 0.5}",20,0,-62.07720925621227,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
9,False,"{'e': 0.5499999999999996, 'a': 0.5}",25,0,-31.92557084245702,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
10,False,"{'e': 0.4999999999999996, 'a': 0.5}",25,0,-67.6077020480739,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
11,False,"{'e': 0.4499999999999996, 'a': 0.5}",20,7,-64.57385213111563,"{0: 8, 1: 1, 2: 1, 3: 3, 4: 0}",1
12,False,"{'e': 0.39999999999999963, 'a': 0.5}",25,0,-16.50152890143392,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
13,False,"{'e': 0.34999999999999964, 'a': 0.5}",20,0,-88.73187581106295,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
14,False,"{'e': 0.29999999999999966, 'a': 0.5}",20,0,-64.06060303361747,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
15,False,"{'e': 0.24999999999999967, 'a': 0.5}",20,0,-42.73725777394018,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
16,False,"{'e': 0.19999999999999968, 'a': 0.5}",25,5,-69.5362623537233,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",1
17,False,"{'e': 0.1499999999999997, 'a': 0.5}",30,13,-24.2883329140007,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 0}",1
18,False,"{'e': 0.09999999999999969, 'a': 0.5}",20,0,-29.13786540928784,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
19,False,"{'e': 0.049999999999999684, 'a': 0.5}",25,14,-7.909479130196943,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
20,False,"{'e': -3.191891195797325e-16, 'a': 0.5}",30,6,17.633635009131897,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
1,True,"{'e': 0, 'a': 0}",25,17,12.555498703411,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'e': 0, 'a': 0}",25,0,25.61948688603099,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
3,True,"{'e': 0, 'a': 0}",20,0,21.444196141036883,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
4,True,"{'e': 0, 'a': 0}",25,7,8.273292489939799,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
5,True,"{'e': 0, 'a': 0}",25,0,5.037879676443659,"{0: 20, 1: 5, 2: 0, 3: 0, 4: 0}",0
6,True,"{'e': 0, 'a': 0}",25,8,0.8309389113000458,"{0: 13, 1: 4, 2: 0, 3: 0, 4: 0}",1
7,True,"{'e': 0, 'a': 0}",20,0,-7.116399115199294,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
8,True,"{'e': 0, 'a': 0}",25,13,-3.0569402698949633,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 0}",1
9,True,"{'e': 0, 'a': 0}",20,0,10.413257793826135,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
10,True,"{'e': 0, 'a': 0}",20,0,7.194224457124786,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
