trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.9646402934831231, 'a': 0.54}",30,0,-158.24874445378583,"{0: 15, 1: 5, 2: 7, 3: 2, 4: 1}",0
2,False,"{'e': 0.9474321065017983, 'a': 0.54}",25,0,-85.25255943089856,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
3,False,"{'e': 0.9305308958112057, 'a': 0.54}",20,13,3.4735213165248413,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,False,"{'e': 0.9139311852712282, 'a': 0.54}",25,0,-130.2509223596859,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
5,False,"{'e': 0.8976275964304349, 'a': 0.54}",25,0,-156.2402113837332,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
6,False,"{'e': 0.8816148467834161, 'a': 0.54}",25,0,-310.2245814995539,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 6}",0
7,False,"{'e': 0.865887748059205, 'a': 0.54}",25,0,-93.06034805483888,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
8,False,"{'e': 0.850441204540233, 'a': 0.54}",25,0,-216.79368817403443,"{0: 11, 1: 4, 2: 5, 3: 2, 4: 3}",0
9,False,"{'e': 0.835270211411272, 'a': 0.54}",20,0,-105.9501009659356,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
10,False,"{'e': 0.8203698531378311, 'a': 0.54}",20,0,-61.94345797930666,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
11,False,"{'e': 0.8057353018734796, 'a': 0.54}",20,0,-59.37871017186409,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
12,False,"{'e': 0.7913618158955839, 'a': 0.54}",20,0,-106.34917859057106,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 0}",0
13,False,"{'e': 0.7772447380689461, 'a': 0.54}",25,0,-109.7125599449359,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
14,False,"{'e': 0.7633794943368533, 'a': 0.54}",20,0,-53.8888806729131,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
15,False,"{'e': 0.7497615922390413, 'a': 0.54}",25,0,-75.62156640434128,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
16,False,"{'e': 0.7363866194561001, 'a': 0.54}",20,0,-58.26569506770085,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
17,False,"{'e': 0.7232502423798425, 'a': 0.54}",20,0,-95.23501581704117,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
18,False,"{'e': 0.7103482047091773, 'a': 0.54}",25,0,-129.84241107528774,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
19,False,"{'e': 0.697676326071031, 'a': 0.54}",30,16,9.808441636304105,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'e': 0.6852305006658703, 'a': 0.54}",30,6,-65.73771152083071,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 0}",1
21,False,"{'e': 0.6730066959373865, 'a': 0.54}",20,0,-105.96973098905863,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
