trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.5}",20,0,-100.05872233587151,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
2,False,"{'e': 1.0, 'a': 0.5}",20,0,-48.28760038612584,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
3,False,"{'e': 1.0, 'a': 0.5}",25,0,-166.18990220335414,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
4,False,"{'e': 1.0, 'a': 0.5}",20,0,-132.5767996894184,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
5,False,"{'e': 1.0, 'a': 0.5}",25,0,-182.75466753864384,"{0: 12, 1: 5, 2: 3, 3: 3, 4: 2}",0
6,False,"{'e': 1.0, 'a': 0.5}",30,0,-137.62040970766384,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
7,False,"{'e': 1.0, 'a': 0.5}",30,0,-112.84238108385465,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
8,False,"{'e': 1.0, 'a': 0.5}",35,0,-119.43204281231895,"{0: 21, 1: 4, 2: 8, 3: 2, 4: 0}",0
9,False,"{'e': 1.0, 'a': 0.5}",35,0,-157.54048932478003,"{0: 22, 1: 1, 2: 8, 3: 3, 4: 1}",0
10,False,"{'e': 1.0, 'a': 0.5}",20,5,-96.98147129111949,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 2}",1
11,False,"{'e': 1.0, 'a': 0.5}",20,11,-27.83034221919874,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 0}",1
12,False,"{'e': 1.0, 'a': 0.5}",20,0,-50.71800874628766,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
13,False,"{'e': 1.0, 'a': 0.5}",20,0,-87.17353762072995,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
14,False,"{'e': 1.0, 'a': 0.5}",30,20,-4.60559649298742,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 0}",1
15,False,"{'e': 1.0, 'a': 0.5}",35,0,-152.36209297947832,"{0: 21, 1: 5, 2: 7, 3: 0, 4: 2}",0
16,False,"{'e': 1.0, 'a': 0.5}",30,0,-163.8038205183348,"{0: 14, 1: 2, 2: 11, 3: 3, 4: 0}",0
17,False,"{'e': 1.0, 'a': 0.5}",20,0,-103.79608583250081,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
18,False,"{'e': 1.0, 'a': 0.5}",25,0,-161.40093870286788,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
19,False,"{'e': 1.0, 'a': 0.5}",20,0,-165.3428329596702,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
20,False,"{'e': 1.0, 'a': 0.5}",20,0,-122.50456218478371,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
1,True,"{'e': 1.0, 'a': 0.5}",25,0,-136.39459601786632,"{0: 13, 1: 6, 2: 4, 3: 0, 4: 2}",0
2,True,"{'e': 1.0, 'a': 0.5}",20,0,-120.22910924800007,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
3,True,"{'e': 1.0, 'a': 0.5}",20,0,-78.81552897994722,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
4,True,"{'e': 1.0, 'a': 0.5}",25,0,-121.44877133987403,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
5,True,"{'e': 1.0, 'a': 0.5}",30,0,-178.90460786728892,"{0: 19, 1: 0, 2: 6, 3: 3, 4: 2}",0
6,True,"{'e': 1.0, 'a': 0.5}",20,14,-36.64300829685792,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 1}",1
7,True,"{'e': 1.0, 'a': 0.5}",20,0,-95.88705615432478,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
8,True,"{'e': 1.0, 'a': 0.5}",25,0,-176.97617589389833,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
9,True,"{'e': 1.0, 'a': 0.5}",20,0,-54.11792661244125,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
10,True,"{'e': 1.0, 'a': 0.5}",30,0,-103.98694589618353,"{0: 19, 1: 5, 2: 4, 3: 1, 4: 1}",0
